序号	code	name
553	000035	中国天楹
554	300309	吉艾科技
555	300269	联建光电
556	600118	中国卫星
557	600418	江淮汽车
558	300250	初灵信息
559	000850	华茂股份
560	600193	创兴资源
561	002077	大港股份
562	603100	川仪股份
563	603333	明星电缆
564	000851	高鸿股份
565	603868	飞科电器
566	300393	中来股份
567	601555	东吴证券
568	300152	科融环境
569	600568	中珠控股
570	000791	甘肃电投
571	300209	天泽信息
572	300480	光力科技
573	000886	海南高速
574	600257	大湖股份
575	002336	*ST人乐
576	600805	悦达投资
577	002301	齐心集团
578	601880	大连港
579	002286	保龄宝
580	600218	全柴动力
581	002156	通富微电
582	600056	中国医药
583	000710	天兴仪表
584	600372	中航电子
585	000680	山推股份
586	000669	金鸿能源
587	300248	新开普
588	002401	中海科技
589	300288	朗玛信息
590	000546	金圆股份
591	002740	爱迪尔
592	002153	石基信息
593	603126	中材节能
594	600855	航天长峰
595	002298	中电鑫龙
596	000903	云内动力
597	603520	司太立
598	000826	启迪桑德
599	600093	禾嘉股份
600	000739	普洛药业
601	300047	天源迪科
602	300475	聚隆科技
603	600853	龙建股份
604	002446	盛路通信
605	300218	安利股份
606	600198	大唐电信
607	603377	东方时尚
608	000860	顺鑫农业
609	600345	长江通信
610	300020	银江股份
611	002711	欧浦智网
612	300230	永利股份
613	300487	蓝晓科技
614	300273	和佳股份
615	002007	华兰生物
616	600742	一汽富维
617	601018	宁波港
618	300333	兆日科技
619	002328	新朋股份
620	002680	长生生物
621	603599	广信股份
622	000901	航天科技
623	300172	中电环保
624	600695	绿庭投资
625	300086	康芝药业
626	002529	海源机械
627	300050	世纪鼎利
628	600757	长江传媒
629	300307	慈星股份
630	603299	井神股份
631	603508	思维列控
632	600814	杭州解百
633	600526	菲达环保
634	601688	华泰证券
635	600217	秦岭水泥
636	600496	精工钢构
637	000928	中钢国际
638	000650	仁和药业
639	002185	华天科技
640	300078	思创医惠
641	603015	弘讯科技
642	600331	宏达股份
643	000090	天健集团
644	600588	用友网络
645	600371	万向德农
646	000665	湖北广电
647	300157	恒泰艾普
648	000686	东北证券
649	600776	东方通信
650	300489	中飞股份
651	600410	华胜天成
652	002362	汉王科技
653	002685	华东重机
654	300107	建新股份
655	300401	花园生物
656	600088	中视传媒
657	600536	中国软件
658	002681	奋达科技
659	002438	江苏神通
660	600746	江苏索普
661	300022	吉峰农机
662	300075	数字政通
663	000023	深天地Ａ
664	300452	山河药辅
665	002001	新 和 成
666	600368	五洲交通
667	300139	晓程科技
668	300280	南通锻压
669	000525	红 太 阳
670	000611	*ST蒙发
671	002363	隆基机械
672	600619	海立股份
673	300211	亿通科技
674	002597	金禾实业
675	603608	天创时尚
676	002402	和而泰
677	600370	三房巷
678	000419	通程控股
679	300276	三丰智能
680	002741	光华科技
681	600990	四创电子
682	300311	任子行
683	002225	濮耐股份
684	600192	长城电工
685	002576	通达动力
686	300453	三鑫医疗
687	300483	沃施股份
688	002403	爱仕达
689	002456	欧菲光
690	002014	永新股份
691	000078	海王生物
692	300140	启源装备
693	002104	恒宝股份
694	300275	梅安森
695	000615	湖北金环
696	002167	东方锆业
697	600137	浪莎股份
698	600197	伊力特
699	000788	北大医药
700	002195	二三四五
701	600284	浦东建设
702	002378	章源钨业
703	300224	正海磁材
704	002061	*ST江化
705	002560	通达股份
706	600166	福田汽车
707	000812	陕西金叶
708	000099	中信海直
709	000856	*ST冀装
710	300245	天玑科技
711	300310	宜通世纪
712	300314	戴维医疗
713	603158	腾龙股份
714	600355	精伦电子
715	000672	上峰水泥
716	002282	博深工具
717	600523	贵航股份
718	002368	太极股份
719	300200	高盟新材
720	300033	同花顺
721	600195	中牧股份
722	002109	*ST兴化
723	002642	荣之联
724	600985	雷鸣科化
725	002365	永安药业
726	002566	益盛药业
727	300084	海默科技
728	600157	永泰能源
729	603019	中科曙光
730	000089	深圳机场
731	300077	国民技术
732	002580	圣阳股份
733	002486	嘉麟杰
734	000151	中成股份
735	300034	钢研高纳
736	300344	太空板业
737	600651	飞乐音响
738	601118	海南橡胶
739	600791	京能置业
740	600796	钱江生化
741	002140	东华科技
742	600439	瑞贝卡
743	603188	亚邦股份
744	600624	复旦复华
745	601519	大智慧
746	002023	海特高新
747	000059	华锦股份
748	600857	宁波中百
749	002698	博实股份
750	000782	美达股份
751	300390	天华超净
752	000881	大连国际
753	002053	云南盐化
754	000852	石化机械
755	603997	继峰股份
756	600586	金晶科技
757	000666	经纬纺机
758	300319	麦捷科技
759	002789	建艺集团
760	601996	丰林集团
761	002333	罗普斯金
762	002480	新筑股份
763	002197	证通电子
764	000822	山东海化
765	002078	太阳纸业
766	002231	奥维通信
767	600461	洪城水业
768	601989	中国重工
769	002676	顺威股份
770	600818	中路股份
771	002221	东华能源
772	002254	泰和新材
773	600973	宝胜股份
774	002098	浔兴股份
775	002416	爱施德
776	300384	三联虹普
777	002666	德联集团
778	000596	古井贡酒
779	600958	东方证券
780	300382	斯莱克
781	600765	中航重机
782	000561	烽火电子
783	000960	锡业股份
784	600135	乐凯胶片
785	000691	ST亚太
786	601799	星宇股份
787	300108	双龙股份
788	300492	山鼎设计
789	002790	瑞尔特
790	600605	汇通能源
791	000760	斯太尔
792	300151	昌红科技
793	000529	广弘控股
794	002483	润邦股份
795	600391	成发科技
796	300212	易华录
797	600595	中孚实业
798	002187	广百股份
799	002258	利尔化学
800	002296	辉煌科技
801	002339	积成电子
802	300189	神农基因
803	002652	扬子新材
804	600382	广东明珠
805	002767	先锋电子
806	601100	恒立液压
807	603600	永艺股份
808	002013	中航机电
809	002441	众业达
810	300178	腾邦国际
811	300154	瑞凌股份
812	300316	晶盛机电
813	002778	高科石化
814	600159	XD大龙地
815	000637	茂化实华
816	600105	永鼎股份
817	002408	齐翔腾达
818	002541	鸿路钢构
819	300094	国联水产
820	300254	仟源医药
821	600617	国新能源
822	300396	迪瑞医疗
823	600458	时代新材
824	601222	林洋能源
825	000628	高新发展
826	300201	海伦哲
827	002084	海鸥卫浴
828	002161	远 望 谷
829	000410	沈阳机床
830	002520	日发精机
831	002722	金轮股份
832	300123	太阳鸟
833	002361	神剑股份
834	002058	威 尔 泰
835	600807	天业股份
836	603678	火炬电子
837	603315	福鞍股份
838	600682	南京新百
839	300343	联创股份
840	002293	罗莱生活
841	600783	鲁信创投
842	300355	蒙草抗旱
843	000719	大地传媒
844	002256	彩虹精化
845	603085	天成自控
846	300249	依米康
847	000820	金城股份
848	300001	特锐德
849	002040	南 京 港
850	603696	安记食品
851	000655	金岭矿业
852	601965	中国汽研
853	300074	华平股份
854	002279	久其软件
855	300296	利亚德
856	600797	浙大网新
857	002374	丽鹏股份
858	600416	湘电股份
859	601179	中国西电
860	300439	美康生物
861	300227	光韵达
862	300354	东华测试
863	000043	中航地产
864	002194	武汉凡谷
865	002748	世龙实业
866	300375	鹏翎股份
867	600243	青海华鼎
868	002093	国脉科技
869	600126	杭钢股份
870	002457	青龙管业
871	601579	会稽山
872	002531	天顺风能
873	300055	万邦达
874	300102	乾照光电
875	600893	中航动力
876	300115	长盈精密
877	600353	旭光股份
878	300207	欣旺达
879	300109	新开源
880	300486	东杰智能
881	002452	长高集团
882	603018	设计股份
883	000673	当代东方
884	300369	绿盟科技
885	600529	山东药玻
886	000042	中洲控股
887	600621	华鑫股份
888	300347	泰格医药
889	300406	九强生物
890	300169	天晟新材
891	600530	交大昂立
892	002623	亚玛顿
893	603806	福斯特
894	000530	大冷股份
895	600838	上海九百
896	002158	汉钟精机
897	601107	四川成渝
898	600293	三峡新材
899	002005	德豪润达
900	000584	友利控股
901	601369	陕鼓动力
902	000605	渤海股份
903	002193	山东如意
904	002728	台城制药
905	300045	华力创通
906	002137	麦达数字
907	601866	中海集运
908	300463	迈克生物
909	300181	佐力药业
910	600272	开开实业
911	000026	飞亚达Ａ
912	600845	宝信软件
913	002063	远光软件
914	601901	方正证券
915	603919	金徽酒
916	600448	华纺股份
917	002561	徐家汇
918	300106	西部牧业
919	000919	金陵药业
920	000965	天保基建
921	002115	三维通信
922	300349	金卡股份
923	600128	弘业股份
924	002132	恒星科技
925	600792	云煤能源
926	603166	福达股份
927	300214	日科化学
928	002673	西部证券
929	300255	常山药业
930	002430	杭氧股份
931	300155	安居宝
932	600684	珠江实业
933	002455	百川股份
934	300160	秀强股份
935	600063	皖维高新
936	603306	华懋科技
937	600029	南方航空
938	002501	利源精制
939	601198	东兴证券
940	002678	珠江钢琴
941	600267	海正药业
942	000999	华润三九
943	002117	东港股份
944	002173	*ST千足
945	600486	扬农化工
946	600860	京城股份
947	300485	赛升药业
948	000816	智慧农业
949	002332	仙琚制药
950	600200	江苏吴中
951	002239	奥特佳
952	002713	东易日盛
953	002758	华通医药
954	600566	济川药业
955	002721	金一文化
956	600079	人福医药
957	300236	上海新阳
958	600251	冠农股份
959	000018	神州长城
960	300301	长方集团
961	600478	科力远
962	002126	银轮股份
963	002420	毅昌股份
964	002543	万和电气
965	000737	南风化工
966	002038	双鹭药业
967	600689	上海三毛
968	002495	佳隆股份
969	300120	经纬电材
970	300204	舒泰神
971	002376	新北洋
972	600854	春兰股份
973	000692	惠天热电
974	002088	鲁阳节能
975	002270	法因数控
976	600476	湘邮科技
977	002055	得润电子
